State,Airport,ICAO,Phone
QLD,Longreach,YLRE,(07) 3564 3723
NSW,Lord Howe Island,YLHI,(02) 9353 6432
QLD,Mackay,YBMK,(07) 3564 3724
NSW,Maitland (NSW,YMND,(02) 9353 6433
VIC,Mallacoota,YMCO,(03) 8470 3212
VIC,Mangalore,YMNG,(03) 8470 3213
NT,Maningrida,YMGD,(08) 7922 2509
QLD,Mareeba,YMBA,(07) 3564 3725
QLD,Maryborough (QLD,YMYB,(07) 3564 3726
NT,McArthur River Mine,YMHU,(08) 7922 2510
WA,Meekatharra,YMEK,(08) 6216 2626
VIC,Melbourne,YMML,(03) 8470 3214
VIC,Melbourne/Essendon,YMEN,(03) 8470 3207
VIC,Melbourne/Moorabbin,YMMB,(03) 8470 3216
NSW,Merimbula,YMER,(02) 9353 6434
VIC,Mildura,YMIA,(03) 8470 3215
NT,Milingimbi,YMGB,(08) 7922 2511
SA,Moomba,YOOM,(08) 8150 3808
QLD,Moranbah,YMRB,(07) 3564 3727
NSW,Moree,YMOR,(02) 9353 6435
QLD,Mornington Island,YMTI,(07) 3564 3728
NSW,Moruya,YMRY,(02) 9353 6436
NSW,Moss Vale,MSV,(02) 9353 6437
NSW,Mount Boyce,MTB,(02) 9353 6438
SA,Mount Gambier,YMTG,(08) 8150 3809
VIC,Mount Hotham,YHOT,(03) 8470 3217
QLD,Mount Isa,YBMA,(07) 3564 3729
WA,Mount Magnet,YMOG,(08) 6216 2627
NSW,Mudgee,YMDG,(02) 9353 6439
NSW,Murrurundi,MUI,(02) 9353 6440
SA,Naracoorte,YNRC,(08) 8150 3810
NSW,Narrabri,YNBR,(02) 9353 6441
NSW,Narrandera,YNAR,(02) 9353 6442
WA,Newman,YNWN,(08) 6216 2628
VIC,Nhill,YNHL,(03) 8470 3218
NSW,Norfolk Island,YSNF,(02) 9353 6443
QLD,Normanton,YNTN,(07) 3564 3730
WA,Norseman,YNSM,(08) 6216 2629
NSW,Nowra,YSNW,(02) 9353 6444
QLD,Oakey,YBOK,(07) 3564 3731
SA,Olympic Dam,YOLD,(08) 8150 3811
WA,Onslow,YOLW,(08) 6216 2630
SA,Oodnadatta,YOOD,(08) 8150 3812
NSW,Orange,YORG,(02) 9353 6445
WA,Paraburdoo,YPBO,(08) 6216 2631
NSW,Parkes,YPKS,(02) 9353 6446
WA,Pearce,YPEA,(08) 6216 2632
WA,Perth,YPPH,(08) 6216 2633
WA,Perth/Jandakot,YPJT,(08) 6216 2618
SA,Port Augusta,YPAG,(08) 8150 3814
WA,Port Hedland,YPPD,(08) 6216 2634
NT,Port Keats,YPKT,(08) 7922 2512
SA,Port Lincoln,YPLC,(08) 8150 3815
NSW,Port Macquaire,YPMQ,(02) 9353 6447
VIC,Portland,YPOD,(03) 8470 3204
QLD,Proserpine/Whitsunday Coast,YBPN,(07) 3564 3732
SA,Renmark,YREN,(08) 8150 3817
NSW,Richmond (NSW,YSRI,(02) 9353 6448
QLD,Richmond (QLD,YRMD,(07) 3564 3733
QLD,Rockhampton,YBRK,(07) 3564 3734
QLD,Roma,YROM,(07) 3564 3735
WA,Rottnest Island,YRTI,(08) 6216 2635
TAS,Saint Helens,YSTH,(03) 6283 8606
QLD,Scherger (RAAF),YBSG,(07) 3564 3737
NSW,Scone,YSCO,(02) 9353 6449
WA,Shark Bay,YSHK,(08) 6216 2636
NSW,Shellharbour Airport,YSHL,(02) 9353 6461
VIC,Shepparton,YSHT,(03) 8470 3219
TAS,Smithton,YSMI,(03) 6283 8605
WA,Southern Cross,YSCR,(08) 6216 2637
VIC,Stawell,YSWL,(03) 8470 3220
TAS,Strahan,YSRN,(03) 6283 8607
QLD,Sunshine Coast,YBSU,(07) 3564 3738
VIC,Swan Hill,YSWH,(03) 8470 3221
NSW,Sydney/Kingsford Smith,YSSY,(02) 9353 6450
NSW,Sydney/Bankstown,YSBK,(02) 9353 6403
NSW,Tamworth,YSTW,(02) 9353 6451
SA,Tarcoola,YTAR,(08) 8150 3818
NSW,Taree,YTRE,(02) 9353 6452
WA,Telfer,YTEF,(08) 6216 2638
NSW,Temora,YTEM,(02) 9353 6453
NT,Tennant Creek,YTNK,(08) 7922 2513
QLD,Thangool,YTNG,(07) 3564 3739
QLD,Thargomindah,YTGM,(07) 3564 3740
QLD,The Monument,YTMO,(07) 3564 3741
NSW,Tibooburra,YTIB,(02) 9353 6454
NT,Tindal,YPTN,(08) 7922 2514
QLD,Toowoomba,YTWB,(07) 3564 3742
QLD,Townsville/ Townsville INT,YBTL,(07) 3564 3743
QLD,Trepell,YTEE,(07) 3564 3744
WA,Tropicana,YTRA,(08) 6216 2639
NT,Victoria River Downs,YVRD,(08) 7922 2515
NSW,Wagga Wagga,YSWG,(02) 9353 6455
NSW,Walgett,YWLG,(02) 9353 6456
VIC,Wangaratta,YWGT,(03) 8470 3222
WA,Warburton,YWBR,(08) 6216 2640
VIC,Warracknabeal,YWKB,(03) 8470 3223
VIC,Warrnambool,YWBL,(03) 8470 3224
QLD,Weipa,YBWP,(07) 3564 3745
WA,West Angelas,YANG,(08) 6332 8175
NSW,West Wyalong,YWWL,(02) 9353 6457
SA,Whyalla,YWHA,(08) 8150 3819
NSW,Wilcannia,YWCA,(02) 9353 6459
QLD,Williamson,YWIS,(07) 3564 3747
NSW,Williamtown,YWLM,(02) 9353 6460
WA,Wiluna,YWLU,(08) 6216 2641
SA,Woomera,YPWR,(08) 8150 3820
SA,Wudinna,YWUD,(08) 8150 3821
WA,Wyndham,YWYM,(08) 6216 2642
TAS,Wynyard,YWYY,(03) 6283 8608
VIC,Yarram,YYRM,(03) 8470 3225
NSW,Young,YYNG,(02) 9353 6462
